Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200211	Conflict_Resolution	LEFT	LEFT	487.634899999989	950.0000019	n/a	n/a	2020-02-11 11:19:16.317135	2020-02-11 11:19:17.013973	1	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	473.6951000001	1266.6666692	n/a	n/a	2020-02-11 11:19:18.299076	2020-02-11 11:19:18.981274	2	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	381.344899999931	1366.6666694	n/a	n/a	2020-02-11 11:19:20.367654	2020-02-11 11:19:20.956597	3	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	392.199699999992	516.6666677	n/a	n/a	2020-02-11 11:19:21.492183	2020-02-11 11:19:22.092632	4	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	436.546300000032	850.0000017	n/a	n/a	2020-02-11 11:19:22.960200	2020-02-11 11:19:23.604962	5	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	372.342099999969	800.0000016	n/a	n/a	2020-02-11 11:19:24.424550	2020-02-11 11:19:25.005339	6	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	458.651599999939	1466.6666696	n/a	n/a	2020-02-11 11:19:26.490248	2020-02-11 11:19:27.156593	7	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	302.996399999984	550.0000011	n/a	n/a	2020-02-11 11:19:27.725317	2020-02-11 11:19:28.236909	8	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	356.112099999905	650.0000013	n/a	n/a	2020-02-11 11:19:28.904747	2020-02-11 11:19:29.468222	9	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	475.809700000013	683.3333347	n/a	n/a	2020-02-11 11:19:30.168349	2020-02-11 11:19:30.852406	10	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	RIGHT	391.345300000012	1150.0000023	n/a	n/a	2020-02-11 11:19:32.021381	2020-02-11 11:19:32.621157	11	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	474.103300000024	1450.0000029	n/a	n/a	2020-02-11 11:19:34.090880	2020-02-11 11:19:34.772375	12	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	361.06570000004	1500.000003	n/a	n/a	2020-02-11 11:19:36.291224	2020-02-11 11:19:36.862475	13	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	445.325799999978	933.3333352	n/a	n/a	2020-02-11 11:19:37.815229	2020-02-11 11:19:38.468179	14	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	388.088599999946	1050.0000021	n/a	n/a	2020-02-11 11:19:39.536744	2020-02-11 11:19:40.132081	15	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	419.527199999948	850.0000017	n/a	n/a	2020-02-11 11:19:41.000726	2020-02-11 11:19:41.628841	16	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	442.936299999928	1433.3333362	n/a	n/a	2020-02-11 11:19:43.081694	2020-02-11 11:19:43.732804	17	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	425.674299999969	850.0000017	n/a	n/a	2020-02-11 11:19:44.603437	2020-02-11 11:19:45.236948	18	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	526.632699999936	583.3333345	n/a	n/a	2020-02-11 11:19:45.838511	2020-02-11 11:19:46.573105	19	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	RIGHT	358.302600000002	966.6666686	n/a	n/a	2020-02-11 11:19:47.558086	2020-02-11 11:19:48.124616	20	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	467.452200000025	1050.0000021	n/a	n/a	2020-02-11 11:19:49.192941	2020-02-11 11:19:49.869176	21	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	395.187399999941	1233.3333358	n/a	n/a	2020-02-11 11:19:51.121709	2020-02-11 11:19:51.725099	22	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	473.070000000007	1250.0000025	n/a	n/a	2020-02-11 11:19:52.995377	2020-02-11 11:19:53.676351	23	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	421.865400000002	800.0000016	n/a	n/a	2020-02-11 11:19:54.494761	2020-02-11 11:19:55.124595	24	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	537.909899999931	1300.0000026	n/a	n/a	2020-02-11 11:19:56.442683	2020-02-11 11:19:57.189732	25	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	462.95699999996	533.3333344	n/a	n/a	2020-02-11 11:19:57.742065	2020-02-11 11:19:58.412250	26	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	376.992399999949	916.6666685	n/a	n/a	2020-02-11 11:19:59.347941	2020-02-11 11:19:59.932665	27	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	415.242400000011	533.3333344	n/a	n/a	2020-02-11 11:20:00.485495	2020-02-11 11:20:01.108229	28	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	487.525399999981	1350.0000027	n/a	n/a	2020-02-11 11:20:02.476785	2020-02-11 11:20:03.172919	29	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	490.65829999995	650.0000013	n/a	n/a	2020-02-11 11:20:03.842220	2020-02-11 11:20:04.540319	30	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	721.25200000005	883.3333351	n/a	n/a	2020-02-11 11:20:05.443027	2020-02-11 11:20:06.372351	31	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	551.962600000024	733.3333348	n/a	n/a	2020-02-11 11:20:07.124302	2020-02-11 11:20:07.884426	32	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	449.74609999997	683.3333347	n/a	n/a	2020-02-11 11:20:08.587108	2020-02-11 11:20:09.245710	33	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	539.824199999998	833.333335	n/a	n/a	2020-02-11 11:20:10.096950	2020-02-11 11:20:10.844942	34	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	486.166799999978	1000.000002	n/a	n/a	2020-02-11 11:20:11.862639	2020-02-11 11:20:12.557430	35	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	413.779399999953	1183.3333357	n/a	n/a	2020-02-11 11:20:13.758700	2020-02-11 11:20:14.380433	36	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	LEFT	LEFT	416.563099999962	1116.6666689	n/a	n/a	2020-02-11 11:20:15.516404	2020-02-11 11:20:16.140465	37	6.00171296666667	False	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	521.331299999929	733.3333348	n/a	n/a	2020-02-11 11:20:16.891506	2020-02-11 11:20:17.620926	38	6.00171296666667	True	n/a	n/a	n/a	n/a
S200211	Conflict_Resolution	RIGHT	RIGHT	347.212399999989	1466.6666696	n/a	n/a	2020-02-11 11:20:19.105423	2020-02-11 11:20:19.660791	39	6.00171296666667	False	n/a	n/a	n/a	n/a
